filename,height,width,x,y
gs://fish_bucket/input/train/ALB/img_07917.jpg,151,383,547,193
gs://fish_bucket/input/train/ALB/img_07915.jpg,65,166,469,448
gs://fish_bucket/input/train/ALB/img_07914.jpg,85,251,334,244
gs://fish_bucket/input/train/ALB/img_07912.jpg,231,199,388,126
gs://fish_bucket/input/train/ALB/img_07904.jpg,158,73,116,495
gs://fish_bucket/input/train/ALB/img_07903.jpg,150,90,638,332
gs://fish_bucket/input/train/ALB/img_07892.jpg,113,323,275,62
gs://fish_bucket/input/train/ALB/img_07890.jpg,191,85,656,430
gs://fish_bucket/input/train/ALB/img_07885.jpg,160,235,765,12
gs://fish_bucket/input/train/ALB/img_07883.jpg,152,55,569,370
gs://fish_bucket/input/train/ALB/img_07879.jpg,162,85,104,487
gs://fish_bucket/input/train/ALB/img_07878.jpg,250,102,1009,542
gs://fish_bucket/input/train/ALB/img_07877.jpg,156,352,592,81
gs://fish_bucket/input/train/ALB/img_07876.jpg,187,88,655,432
gs://fish_bucket/input/train/ALB/img_07874.jpg,35,166,423,391
gs://fish_bucket/input/train/ALB/img_07871.jpg,179,210,611,448
gs://fish_bucket/input/train/ALB/img_07869.jpg,107,119,478,284
gs://fish_bucket/input/train/ALB/img_07868.jpg,199,267,782,180
gs://fish_bucket/input/train/ALB/img_07863.jpg,98,274,395,60
gs://fish_bucket/input/train/ALB/img_07862.jpg,159,108,550,425
gs://fish_bucket/input/train/ALB/img_07858.jpg,112,153,397,401
gs://fish_bucket/input/train/ALB/img_07851.jpg,52,116,574,59
gs://fish_bucket/input/train/ALB/img_07850.jpg,186,388,529,144
gs://fish_bucket/input/train/ALB/img_07836.jpg,66,124,257,516
gs://fish_bucket/input/train/ALB/img_07826.jpg,131,323,267,196
gs://fish_bucket/input/train/ALB/img_07822.jpg,65,101,297,175
gs://fish_bucket/input/train/ALB/img_07814.jpg,106,332,287,77
gs://fish_bucket/input/train/ALB/img_07811.jpg,134,138,439,384
gs://fish_bucket/input/train/ALB/img_07810.jpg,181,374,636,182
gs://fish_bucket/input/train/ALB/img_07807.jpg,102,111,407,360
gs://fish_bucket/input/train/ALB/img_07802.jpg,157,156,611,467
gs://fish_bucket/input/train/ALB/img_07801.jpg,166,411,579,313
gs://fish_bucket/input/train/ALB/img_07797.jpg,50,170,459,480
gs://fish_bucket/input/train/ALB/img_07794.jpg,129,261,886,204
gs://fish_bucket/input/train/ALB/img_07789.jpg,129,196,298,258
gs://fish_bucket/input/train/ALB/img_07785.jpg,120,191,750,29
gs://fish_bucket/input/train/ALB/img_07773.jpg,71,202,164,379
gs://fish_bucket/input/train/ALB/img_07772.jpg,85,91,771,284
gs://fish_bucket/input/train/ALB/img_07771.jpg,72,179,379,401
gs://fish_bucket/input/train/ALB/img_07768.jpg,179,83,585,248
gs://fish_bucket/input/train/ALB/img_07767.jpg,170,143,88,104
gs://fish_bucket/input/train/ALB/img_07766.jpg,72,194,144,114
gs://fish_bucket/input/train/ALB/img_07763.jpg,127,121,636,353
gs://fish_bucket/input/train/ALB/img_07755.jpg,124,110,486,305
gs://fish_bucket/input/train/ALB/img_07749.jpg,89,372,559,102
gs://fish_bucket/input/train/ALB/img_07745.jpg,132,36,584,383
gs://fish_bucket/input/train/ALB/img_07741.jpg,101,112,636,354
gs://fish_bucket/input/train/ALB/img_07740.jpg,117,107,807,277
gs://fish_bucket/input/train/ALB/img_07739.jpg,196,84,654,427
gs://fish_bucket/input/train/ALB/img_07735.jpg,232,160,305,352
gs://fish_bucket/input/train/ALB/img_07732.jpg,144,150,221,63
gs://fish_bucket/input/train/ALB/img_07730.jpg,90,202,198,379
gs://fish_bucket/input/train/ALB/img_07727.jpg,116,88,725,340
gs://fish_bucket/input/train/ALB/img_07726.jpg,127,361,665,378
gs://fish_bucket/input/train/ALB/img_07720.jpg,124,297,613,197
gs://fish_bucket/input/train/ALB/img_07710.jpg,28,176,765,369
gs://fish_bucket/input/train/ALB/img_07709.jpg,70,284,369,264
gs://fish_bucket/input/train/ALB/img_07705.jpg,103,52,877,298
gs://fish_bucket/input/train/ALB/img_07704.jpg,42,62,923,193
gs://fish_bucket/input/train/ALB/img_07701.jpg,101,65,821,322
gs://fish_bucket/input/train/ALB/img_07698.jpg,69,128,353,426
gs://fish_bucket/input/train/ALB/img_07694.jpg,250,177,474,152
gs://fish_bucket/input/train/ALB/img_07686.jpg,166,304,821,330
gs://fish_bucket/input/train/ALB/img_07684.jpg,166,145,221,52
gs://fish_bucket/input/train/ALB/img_07681.jpg,83,35,864,296
gs://fish_bucket/input/train/ALB/img_07672.jpg,179,100,532,481
gs://fish_bucket/input/train/ALB/img_07671.jpg,133,380,541,148
gs://fish_bucket/input/train/ALB/img_07670.jpg,122,126,460,322
gs://fish_bucket/input/train/ALB/img_07669.jpg,177,100,527,539
gs://fish_bucket/input/train/ALB/img_07668.jpg,160,146,221,54
gs://fish_bucket/input/train/ALB/img_07664.jpg,45,142,778,289
gs://fish_bucket/input/train/ALB/img_07662.jpg,199,142,672,455
